"id","nombre","descripcion","fecha_publicacion","precio","id_usuario","estado"
1,"Libro: Electricidad Básica","Libro de teoría y ejercicios para electricidad básica","2025-10-20",1500.0,6,"Activo"
2,"Examen Anual 2022 - Matemática","Examen resuelto del turno anual 2022","2025-10-20",300.0,10,"Activo"
3,"Set de Lápices Técnicos","Pack 12 lápices 2H-6B","2025-10-20",800.0,6,"Activo"
4,"Libro: Mecánica - 2do Año","Obra de consulta para mecánica","2025-10-20",2000.0,16,"Activo"
5,"Guía de Laboratorio - Química","Compendio de prácticas de laboratorio","2025-10-20",1200.0,5,"Activo"
6,"Cuaderno A4 100 hojas","Cuaderno para apuntes","2025-10-20",250.0,19,"Activo"
7,"Plantillas de dibujo técnico","Juego de plantillas","2025-10-20",600.0,20,"Activo"
8,"Examen Parcial Física 2021","Examen de práctica","2025-10-20",200.0,10,"Activo"
9,"Manual Arduino - Proyectos","Proyectos prácticos con Arduino","2025-10-20",1800.0,3,"Activo"
10,"Compás profesional","Compás metálico para dibujo técnico","2025-10-20",700.0,13,"Activo"
11,"Colección esquemas eléctricos","Archivos con esquemas","2025-10-20",400.0,9,"Activo"
12,"Set reglas métricas","Regla + escuadra + cartabón","2025-10-20",350.0,5,"Activo"
13,"Clases particulares: Electricidad","Refuerzos para exámenes de electricidad","2025-10-25",2208.0,9,"Activo"
14,"Curso intensivo: PLCs","Curso de programación de PLC para industria","2025-10-25",977.0,8,"Activo"
15,"Clases: Matemática aplicada","Clases particulares para apoyo en álgebra","2025-10-25",2996.0,11,"Activo"
16,"Taller: Soldadura básica","Curso práctico de soldadura","2025-10-25",2350.0,4,"Activo"
17,"Clases: Física - Mecánica","Preparación para recuperatorios","2025-10-25",2000.0,4,"Activo"
18,"Curso: Dibujo técnico","Curso mensual de dibujo técnico","2025-10-25",1587.0,9,"Activo"
19,"Asesoría: Trabajo práctico","Mentoría para desarrollo de trabajos prácticos","2025-10-25",987.0,4,"Activo"
20,"Clases: Programación C","Clases para principiantes e intermedios","2025-10-25",1985.0,6,"Activo"
